<h2>Plants Toxic to Cats</h2>
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/black-nightshade">,Black Nightshade,Solanum nigrum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/bobbins">,Bobbins,Arum maculatum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/bog-laurel">,Bog Laurel,Kalmia poliifolia
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/borage">,Borage,Borage officinalis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/boxwood">,Boxwood,Buxus spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/branching-ivy">,Branching Ivy,Hedera helix
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/brazilwood">,Brazilwood,Poinciana gilliesii
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/bread-and-butter-plant">,Bread and Butter Plant,Coleus ampoinicus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/brunfelsia">,Brunfelsia,Brunfelsia species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/buckeye">,Buckeye,Aesculus spp
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/buckwheat">,Buckwheat,Fagopyrum spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/buddhist-pine">,Buddhist Pine,Podocarpus macrophylla
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/burning-bush">,Burning Bush,Euonymus atropurpurea
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/buttercup">,Buttercup,Ranunculus spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/butterfly-iris">,Butterfly Iris,Iris spuria
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/caladium">,Caladium,Caladium hortulanum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/calamondin-orange">,Calamondin Orange,Citrus mitis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/california-ivy">,California Ivy,Hedera helix
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/calla-lily">,Calla Lily,Zantedeschia aethiopica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cape-jasmine">,Cape Jasmine,Gardenia jasminoides
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/caraway">,Caraway,Carum carvi
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cardboard-cycad">,Cardboard Cycad,Zamia furfuracea
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cardboard-palm">,Cardboard Palm,Zamia spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cardinal-flower">,Cardinal Flower,Lobelia cardinalis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/carnation">,Carnation,Dianthus caryophyllus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/castor-bean-plant">,Castor Bean Plant,Ricinus communis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/catnip">,Catnip,Nepeta cataria
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/ceriman">,Ceriman,Monstera deliciosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chamomile">,Chamomile,Anthemis nobilis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chandelier-plant">,Chandelier Plant,Kalanchoe tubiflora
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/charming-dieffenbachia">,Charming Dieffenbachia,Dieffenbachia amoena
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cherry">,Cherry,Prunus spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinaberry-tree">,Chinaberry Tree,Melia azedarach
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinese-evergreen">,Chinese Evergreen,Aglaonema modestum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinese-jade">,Chinese Jade,Crassula arborescens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chives">,Chives,Allium schoenoprasum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/choke-cherry">,Choke Cherry,Prunus virginiana
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/christmas-rose">,Christmas Rose,Helleborus niger
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/chrysanthemum">,Chrysanthemum,Chrysanthemum spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/clematis">,Clematis,Clematis spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/climbing-bittersweet">,Climbing Bittersweet,Celastrus scandens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/climbing-lily">,Climbing Lily,Gloriosa superba
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/climbing-nightshade">,Climbing Nightshade,Solanum dulcamara
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/clivia-lily">,Clivia Lily,Clivia spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/clusia-rosea">,Clusia Rosea,Clusia major
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/coffee-tree">,Coffee Tree,Polyscias guilfoylei
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/coleus">,Coleus,Coleus ampoinicus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/common-privet">,Common Privet,Ligustrum vulgare
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/coontie-palm">,Coontie Palm,Zamia pumila
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cordatum">,Cordatum,Philodendron oxycardium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/corn-plant">,Corn Plant,Dracaena fragrans
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cornstalk-plant">,Cornstalk Plant,Dracaena fragrans
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cow-parsnip">,Cow parsnip,Heracleum maximum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cowbane">,Cowbane,Cicuta species
